path	final_owner	source_sha	target_batch	retained_or_rebuilt	removed_or_forbidden	verification	status
cmd/generator/generator.go	schema-contract	tenant:1e8e95c91307d01a556c83ed43ea500e553e4563 + ai:4db799363040a4478a5585e101d119de11a26f8e	B1	注册最终行业、Profile、Store Assignment、Credential、Usage、FastGPT、行业标签模型	取消 AIConfig、TenantAIModelGrant、StoreAIModelSetting、ConversationTag 生成注册	go test ./internal/bootstrap/... ./internal/migration/... -count=1; SQLite/MySQL schema matrix	B1-complete@f024d17
docker-compose.yml	release-runtime	tenant:1e8e95c91307d01a556c83ed43ea500e553e4563 + ai:4db799363040a4478a5585e101d119de11a26f8e	B13	统一 NewAPI/FastGPT 依赖和 8083 发布契约	删除 8084、旧模型服务和多网关残留	docker compose config; 8083 smoke; 丽斯未来 readiness	pending
docs/design/fastgpt-managed-store-knowledge.md	fastgpt	ai:4db799363040a4478a5585e101d119de11a26f8e + unified-plan	B6	按 Tenant+Store 重写 Dataset/Profile/RAG 单向事实	删除 Company scope、企微模型绑定和旧 AIConfig 说明	文档与真实 route/service/model 静态对照	pending
internal/ai/rag/answer.go	ai-runtime-rag	ai:4db799363040a4478a5585e101d119de11a26f8e + tenant-scope:1e8e95c91307d01a556c83ed43ea500e553e4563	B6	完整移植 FastGPT retrieve/rerank/answerability，并强制 Tenant+Store+industry scope	删除旧向量 fallback、Company/Knowledge industry override 和 AIConfig resolver	go test ./internal/ai/rag/... ./internal/pkg/fastgpt/... -count=1	pending
internal/ai/rag/fastgpt_engine.go	ai-runtime-rag	ai:4db799363040a4478a5585e101d119de11a26f8e + tenant-scope:1e8e95c91307d01a556c83ed43ea500e553e4563	B6	完整移植 FastGPT retrieve/rerank/answerability，并强制 Tenant+Store+industry scope	删除旧向量 fallback、Company/Knowledge industry override 和 AIConfig resolver	go test ./internal/ai/rag/... ./internal/pkg/fastgpt/... -count=1	pending
internal/ai/rag/index.go	ai-runtime-rag	ai:4db799363040a4478a5585e101d119de11a26f8e + tenant-scope:1e8e95c91307d01a556c83ed43ea500e553e4563	B6	完整移植 FastGPT retrieve/rerank/answerability，并强制 Tenant+Store+industry scope	删除旧向量 fallback、Company/Knowledge industry override 和 AIConfig resolver	go test ./internal/ai/rag/... ./internal/pkg/fastgpt/... -count=1	pending
internal/ai/rag/retrieve.go	ai-runtime-rag	ai:4db799363040a4478a5585e101d119de11a26f8e + tenant-scope:1e8e95c91307d01a556c83ed43ea500e553e4563	B6	完整移植 FastGPT retrieve/rerank/answerability，并强制 Tenant+Store+industry scope	删除旧向量 fallback、Company/Knowledge industry override 和 AIConfig resolver	go test ./internal/ai/rag/... ./internal/pkg/fastgpt/... -count=1	pending
internal/ai/runtime/conversation_memory_service.go	ai-reply-runtime	ai:4db799363040a4478a5585e101d119de11a26f8e + tenant-hooks:1e8e95c91307d01a556c83ed43ea500e553e4563	B7	完整移植 Prompt/Schema/Intent/Plan/RAG/Generate/Validate/Commit/Resume/Trace；保留 Tenant 运营事实 hook	删除旧 AIConfig resolver、旧独立 Agent、FAQ fallback 和模型派单	go test ./internal/ai/runtime/... -count=1; ai-billing golden parity	pending
internal/ai/runtime/debug_run.go	ai-reply-runtime	ai:4db799363040a4478a5585e101d119de11a26f8e + tenant-hooks:1e8e95c91307d01a556c83ed43ea500e553e4563	B7	完整移植 Prompt/Schema/Intent/Plan/RAG/Generate/Validate/Commit/Resume/Trace；保留 Tenant 运营事实 hook	删除旧 AIConfig resolver、旧独立 Agent、FAQ fallback 和模型派单	go test ./internal/ai/runtime/... -count=1; ai-billing golden parity	pending
internal/ai/runtime/executor/answerability_gate.go	ai-reply-runtime	ai:4db799363040a4478a5585e101d119de11a26f8e + tenant-hooks:1e8e95c91307d01a556c83ed43ea500e553e4563	B7	完整移植 Prompt/Schema/Intent/Plan/RAG/Generate/Validate/Commit/Resume/Trace；保留 Tenant 运营事实 hook	删除旧 AIConfig resolver、旧独立 Agent、FAQ fallback 和模型派单	go test ./internal/ai/runtime/... -count=1; ai-billing golden parity	pending
